title,price_gbp,price_excl_tax_gbp,price_incl_tax_gbp,tax_gbp,availability,rating,rating_numeric,number_of_reviews,product_type,UPC,product_url
A Light in the Attic,51.77,51.77,51.77,0.0,In stock,Three,3,0,Books,a897fe39b1053632,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,53.74,53.74,0.0,In stock,One,1,0,Books,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,50.1,50.1,50.1,0.0,In stock,One,1,0,Books,6957f44c3847a760,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,47.82,47.82,47.82,0.0,In stock,Four,4,0,Books,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,54.23,54.23,0.0,In stock,Five,5,0,Books,4165285e1663650f,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,22.65,22.65,0.0,In stock,One,1,0,Books,f77dbf2323deb740,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,33.34,33.34,0.0,In stock,Four,4,0,Books,2597b5a345f45e1b,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,17.93,17.93,0.0,In stock,Three,3,0,Books,e72a5dfc7e9267b2,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,22.6,22.6,0.0,In stock,Four,4,0,Books,e10e1e165dc8be4a,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,52.15,52.15,52.15,0.0,In stock,One,1,0,Books,1dfe412b8ac00530,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
